stn    time           nto002d0
MER    20150324              0
MER    20150325              0
MER    20150326              0
MER    20150327              0
MER    20150328              0
MER    20150329              0
MER    20150330              0
MER    20150331              0
MER    20150401              0
MER    20150402              0
MER    20150403              0
MER    20150404              0
MER    20150405              0
MER    20150406              0
MER    20150407              1
MER    20150408              1
MER    20150409              1
MER    20150410              0
MER    20150411              0
MER    20150412              0
MER    20150413              0
MER    20150414              0
MER    20150415              0
MER    20150416              0
MER    20150417              0
MER    20150418              0
MER    20150419              0
MER    20150420              0
MER    20150421              1
MER    20150422              0
MER    20150423              0
MER    20150424              1
MER    20150425              0
MER    20150426              0
MER    20150427              0
MER    20150428              0
MER    20150429              0
MER    20150430              0
MER    20150501              0
MER    20150502              0
MER    20150503              0
MER    20150504              0
MER    20150505              0
MER    20150506              0
MER    20150507              0
MER    20150508              0
MER    20150509              0
MER    20150510              0
MER    20150511              0
MER    20150512              0
MER    20150513              0
MER    20150514              0
MER    20150515              0
MER    20150516              0
MER    20150517              0
MER    20150518              0
MER    20150519              0
MER    20150520              0
MER    20150521              0
MER    20150522              0
MER    20150523              0
MER    20150524              0
MER    20150525              0
MER    20150526              0
MER    20150527              0
MER    20150528              0
MER    20150529              0
MER    20150530              0
MER    20150531              0
MER    20150601              0
MER    20150602              0
MER    20150603              0
MER    20150604              0
MER    20150605              0
MER    20150606              0
MER    20150607              0
MER    20150608              0
MER    20150609              0
MER    20150610              0
MER    20150611              0
MER    20150612              0
MER    20150613              0
MER    20150614              0
MER    20150615              0
MER    20150616              0
MER    20150617              0
MER    20150618              0
MER    20150619              0
MER    20150620              0
MER    20150621              0
MER    20150622              0
MER    20150623              0
MER    20150624              0
MER    20150625              0
MER    20150626              0
MER    20150627              0
MER    20150628              0
MER    20150629              0
MER    20150630              1
MER    20150701              0
MER    20150702              1
MER    20150703              0
MER    20150704              1
MER    20150705              0
MER    20150706              0
MER    20150707              0
MER    20150708              0
MER    20150709              0
MER    20150710              1
MER    20150711              0
MER    20150712              0
MER    20150713              0
MER    20150714              1
MER    20150715              1
MER    20150716              1
MER    20150717              0
MER    20150718              0
MER    20150719              0
MER    20150720              0
MER    20150721              1
MER    20150722              0
MER    20150723              0
MER    20150724              0
MER    20150725              0
MER    20150726              0
MER    20150727              0
MER    20150728              0
MER    20150729              0
MER    20150730              0
MER    20150731              0
MER    20150801              0
MER    20150802              0
MER    20150803              0
MER    20150804              0
MER    20150805              1
MER    20150806              0
MER    20150807              0
MER    20150808              0
MER    20150809              0
MER    20150810              0
MER    20150811              0
MER    20150812              0
MER    20150813              0
MER    20150814              0
MER    20150815              0
MER    20150816              0
MER    20150817              0
MER    20150818              0
MER    20150819              0
MER    20150820              0
MER    20150821              0
MER    20150822              0
MER    20150823              0
MER    20150824              0
MER    20150825              0
MER    20150826              1
MER    20150827              0
MER    20150828              0
MER    20150829              1
MER    20150830              1
MER    20150831              1
MER    20150901              0
MER    20150902              0
MER    20150903              0
MER    20150904              0
MER    20150905              0
MER    20150906              0
MER    20150907              0
MER    20150908              0
MER    20150909              0
MER    20150910              0
MER    20150911              0
MER    20150912              0
MER    20150913              0
MER    20150914              0
MER    20150915              0
MER    20150916              0
MER    20150917              0
MER    20150918              0
MER    20150919              0
MER    20150920              0
MER    20150921              1
MER    20150922              0
MER    20150923              0
MER    20150924              0
MER    20150925              0
MER    20150926              0
MER    20150927              0
MER    20150928              0
MER    20150929              0
MER    20150930              0
MER    20151001              0
MER    20151002              0
MER    20151003              0
MER    20151004              0
MER    20151005              0
MER    20151006              0
MER    20151007              0
MER    20151008              0
MER    20151009              0
MER    20151010              0
MER    20151011              0
MER    20151012              0
MER    20151013              0
MER    20151014              0
MER    20151015              0
MER    20151016              0
MER    20151017              0
MER    20151018              0
MER    20151019              0
MER    20151020              0
MER    20151021              0
MER    20151022              0
MER    20151023              1
MER    20151024              0
MER    20151025              0
MER    20151026              1
MER    20151027              0
MER    20151028              0
MER    20151029              0
MER    20151030              1
MER    20151031              0
MER    20151101              0
MER    20151102              0
MER    20151103              0
MER    20151104              1
MER    20151105              1
MER    20151106              0
MER    20151107              1
MER    20151108              1
MER    20151109              1
MER    20151110              0
MER    20151111              0
MER    20151112              0
MER    20151113              0
MER    20151114              0
MER    20151115              0
MER    20151116              0
MER    20151117              0
MER    20151118              0
MER    20151119              0
MER    20151120              0
MER    20151121              0
MER    20151122              0
MER    20151123              0
MER    20151124              0
MER    20151125              0
MER    20151126              0
MER    20151127              0
MER    20151128              0
MER    20151129              0
MER    20151130              0
MER    20151201              0
MER    20151202              1
MER    20151203              1
MER    20151204              0
MER    20151205              0
MER    20151206              0
MER    20151207              0
MER    20151208              1
MER    20151209              0
MER    20151210              1
MER    20151211              1
MER    20151212              1
MER    20151213              0
MER    20151214              1
MER    20151215              0
MER    20151216              0
MER    20151217              0
MER    20151218              0
MER    20151219              1
MER    20151220              1
MER    20151221              0
MER    20151222              0
MER    20151223              1
MER    20151224              0
MER    20151225              1
MER    20151226              1
MER    20151227              1
MER    20151228              1
MER    20151229              0
MER    20151230              1
MER    20151231              0
MER    20160101              0
MER    20160102              0
MER    20160103              0
MER    20160104              0
MER    20160105              0
MER    20160106              0
MER    20160107              0
MER    20160108              0
MER    20160109              0
MER    20160110              0
MER    20160111              0
MER    20160112              0
MER    20160113              0
MER    20160114              0
MER    20160115              0
MER    20160116              0
MER    20160117              0
MER    20160118              0
MER    20160119              0
MER    20160120              0
MER    20160121              0
MER    20160122              0
MER    20160123              0
MER    20160124              0
MER    20160125              1
MER    20160126              1
MER    20160127              0
MER    20160128              0
MER    20160129              0
MER    20160130              0
MER    20160131              0
MER    20160201              0
MER    20160202              0
MER    20160203              0
MER    20160204              0
MER    20160205              0
