 

stn    time           tre200dx
RAG    19410714           25.5
RAG    19410715           25.9
RAG    19410716           20.3
RAG    19410717           19.6
RAG    19410718           22.0
RAG    19410719           23.4
RAG    19410720           21.1
RAG    19410721           19.0
RAG    19410722           24.7
RAG    19410723           23.8
RAG    19410724           26.0
RAG    19410725           28.4
RAG    19410726           27.9
RAG    19410727           22.6
RAG    19410728           17.4
RAG    19410729           18.6
RAG    19410730           16.4
RAG    19410731           16.5
RAG    19410801           18.7
RAG    19410802           21.8
RAG    19410803           24.9
RAG    19410804           19.4
RAG    19410805           21.4
RAG    19410806           16.2
RAG    19410807           15.3
RAG    19410808           16.2
RAG    19410809           16.7
RAG    19410810           18.0
RAG    19410811           23.8
RAG    19410812           25.0
RAG    19410813           18.6
RAG    19410814           23.7
RAG    19410815           29.4
RAG    19410816           25.7
RAG    19410817           19.5
RAG    19410818           25.1
RAG    19410819           18.4
RAG    19410820           17.6
RAG    19410821           18.0
RAG    19410822           18.9
RAG    19410823           22.5
RAG    19410824           21.7
RAG    19410825           23.3
RAG    19410826           23.8
RAG    19410827           20.2
RAG    19410828           23.0
RAG    19410829           19.0
RAG    19410830           17.2
RAG    19410831           14.1
RAG    19410901           14.7
RAG    19410902           17.8
RAG    19410903           19.2
RAG    19410904           21.8
RAG    19410905           23.1
RAG    19410906           24.0
RAG    19410907           20.8
RAG    19410908           16.1
RAG    19410909           15.0
RAG    19410910           16.7
RAG    19410911           18.7
RAG    19410912           12.9
RAG    19410913           12.4
RAG    19410914           15.4
RAG    19410915           13.8
RAG    19410916           13.7
RAG    19410917           15.4
RAG    19410918           17.0
RAG    19410919           13.0
RAG    19410920           15.5
RAG    19410921           17.0
RAG    19410922           18.8
RAG    19410923           20.2
RAG    19410924           20.4
RAG    19410925           21.2
RAG    19410926           15.6
RAG    19410927           20.7
RAG    19410928           22.9
RAG    19410929           22.7
RAG    19410930           20.1
RAG    19411001           14.0
RAG    19411002           15.2
RAG    19411003           17.1
RAG    19411004           16.2
RAG    19411005           18.6
RAG    19411006           17.5
RAG    19411007           17.6
RAG    19411008           18.5
RAG    19411009           20.2
RAG    19411010           18.2
RAG    19411011           13.4
RAG    19411012           10.5
RAG    19411013            9.2
RAG    19411014           12.4
RAG    19411015            8.6
RAG    19411016           12.6
RAG    19411017           15.2
RAG    19411018           14.1
RAG    19411019           14.5
RAG    19411020           16.6
RAG    19411021           15.7
RAG    19411022           12.1
RAG    19411023            5.0
RAG    19411024            3.6
RAG    19411025            5.0
RAG    19411026            4.3
RAG    19411027            3.6
RAG    19411028            3.8
RAG    19411029            3.4
RAG    19411030            0.0
RAG    19411031            1.8
RAG    19411101            3.4
RAG    19411102            0.0
RAG    19411103            1.1
RAG    19411104            0.8
RAG    19411105           -0.6
RAG    19411106            1.5
RAG    19411107            4.3
RAG    19411108            3.6
RAG    19411109            6.1
RAG    19411110           13.6
RAG    19411111           18.1
RAG    19411112           21.3
RAG    19411113           17.3
RAG    19411114            8.6
RAG    19411115            8.7
RAG    19411116           13.4
RAG    19411117           10.5
RAG    19411118            9.3
RAG    19411119           11.9
RAG    19411120            8.4
RAG    19411121           12.0
RAG    19411122           14.0
RAG    19411123           14.1
RAG    19411124            5.9
RAG    19411125            4.3
RAG    19411126            3.6
RAG    19411127            2.8
RAG    19411128            0.3
RAG    19411129            4.4
RAG    19411130            4.4
RAG    19411201           -0.8
RAG    19411202           -1.6
RAG    19411203           -2.7
RAG    19411204            0.9
RAG    19411205           -1.7
RAG    19411206           -3.2
RAG    19411207            9.0
RAG    19411208            3.8
RAG    19411209            2.8
RAG    19411210            4.6
RAG    19411211            4.6
RAG    19411212            4.0
RAG    19411213            7.0
RAG    19411214            5.5
RAG    19411215            6.9
RAG    19411216            8.8
RAG    19411217            8.4
RAG    19411218            1.4
RAG    19411219            0.9
RAG    19411220            0.4
RAG    19411221           -1.1
RAG    19411222           -1.8
RAG    19411223           -0.9
RAG    19411224            2.4
RAG    19411225            6.5
RAG    19411226            4.4
RAG    19411227           -1.2
RAG    19411228           -2.0
RAG    19411229          -10.1
RAG    19411230           -4.4
RAG    19411231           -3.2
RAG    19420101            0.7
RAG    19420102           -0.7
