 

stn    time           hns000d0
LUZ    19420524              0
LUZ    19420525              0
LUZ    19420526              0
LUZ    19420527              0
LUZ    19420528              0
LUZ    19420529              0
LUZ    19420530              0
LUZ    19420531              0
LUZ    19420601              0
LUZ    19420602              0
LUZ    19420603              0
LUZ    19420604              0
LUZ    19420605              0
LUZ    19420606              0
LUZ    19420607              0
LUZ    19420608              0
LUZ    19420609              0
LUZ    19420610              0
LUZ    19420611              0
LUZ    19420612              0
LUZ    19420613              0
LUZ    19420614              0
LUZ    19420615              0
LUZ    19420616              0
LUZ    19420617              0
LUZ    19420618              0
LUZ    19420619              0
